Year,state,shape,total duration,mean duration,number of sightings
1994,id,changing,600.0,600.0,1
1994,id,disk,5400.0,5400.0,1
1994,id,fireball,10.0,10.0,1
1994,id,triangular,600.0,300.0,2
1994,il,spherical,120.0,120.0,1
1994,il,triangular,300.0,300.0,1
1994,il,unknown/other,900.0,900.0,1
1994,in,disk,300.0,150.0,2
1994,in,polygonal,90.0,90.0,1
1994,in,spherical,90.0,90.0,1
1994,in,triangular,330.0,165.0,2
1994,in,unknown/other,15.0,15.0,1
1994,ks,spherical,1200.0,1200.0,1
1994,ks,triangular,10.0,10.0,1
1994,ky,cylindrical,60.0,60.0,1
1994,ky,disk,120.0,120.0,1
1994,ky,fireball,900.0,900.0,1
1994,ky,polygonal,120.0,120.0,1
1994,ky,spherical,1800.0,1800.0,1
1994,ky,triangular,60.0,60.0,1
1994,la,disk,30.0,30.0,1
1994,ma,changing,300.0,300.0,1
1994,ma,circular,10.0,10.0,1
1994,ma,cylindrical,15.0,15.0,1
1994,ma,light,360.0,360.0,1
1994,ma,triangular,1950.0,650.0,3
1994,ma,unknown/other,90.0,45.0,2
1994,md,cylindrical,24.0,24.0,1
1994,md,unknown/other,780.0,390.0,2
1994,me,disk,240.0,120.0,2
1994,me,light,240.0,240.0,1
1994,me,triangular,1200.0,1200.0,1
1994,mi,changing,300.0,300.0,1
1994,mi,disk,240.0,120.0,2
1994,mi,formation,2700.0,2700.0,1
1994,mi,light,545.0,181.66666666666666,3
1994,mi,triangular,8880.0,1776.0,5
1994,mi,unknown/other,300.0,150.0,2
1994,mn,fireball,4.0,4.0,1
1994,mn,ovoid,180.0,180.0,1
1994,mo,changing,420.0,420.0,1
1994,mo,circular,120.0,120.0,1
1994,mo,cylindrical,720.0,360.0,2
1994,mo,light,2700.0,2700.0,1
1994,mo,polygonal,120.0,120.0,1
1994,mo,triangular,2460.0,820.0,3
1994,mo,unknown/other,1080.0,540.0,2
1994,ms,disk,480.0,240.0,2
1994,ms,flash,2.0,2.0,1
1994,ms,unknown/other,4.0,4.0,1
1994,mt,spherical,300.0,300.0,1
1994,mt,unknown/other,300.0,300.0,1
1994,nc,cylindrical,1200.0,1200.0,1
1994,nc,disk,2700.0,1350.0,2
1994,nc,fireball,120.0,120.0,1
1994,nc,light,20.0,20.0,1
1994,nc,ovoid,1500.0,750.0,2
1994,nc,unknown/other,150.0,75.0,2
1994,ne,fireball,60.0,60.0,1
1994,ne,light,600.0,600.0,1
1994,nj,circular,300.0,300.0,1
1994,nj,disk,500.0,166.66666666666666,3
1994,nj,light,60.0,60.0,1
1994,nj,triangular,304.0,152.0,2
1994,nj,unknown/other,240.0,240.0,1
1994,nm,spherical,6.0,3.0,2
1994,nm,triangular,600.0,200.0,3
1994,nv,circular,65.0,32.5,2
1994,nv,light,45.0,45.0,1
1994,nv,triangular,900.0,450.0,2
1994,nv,unknown/other,40.0,40.0,1
1994,ny,circular,675.0,337.5,2
1994,ny,disk,22.0,11.0,2
1994,ny,light,22440.0,5610.0,4
1994,ny,ovoid,510.0,127.5,4
1994,ny,polygonal,22020.0,7340.0,3
1994,ny,triangular,1865.0,373.0,5
1994,ny,unknown/other,570.0,142.5,4
1994,oh,circular,3428.0,685.6,5
1994,oh,disk,660.0,330.0,2
1994,oh,formation,1800.0,1800.0,1
1994,oh,light,10.0,10.0,1
1994,oh,oviod,1800.0,1800.0,1
1994,oh,spherical,1830.0,610.0,3
1994,oh,triangular,2600.0,650.0,4
1994,oh,unknown/other,33420.0,11140.0,3
1994,ok,triangular,1200.0,1200.0,1
1994,or,changing,43200.0,43200.0,1
1994,or,cylindrical,120.0,120.0,1
1994,or,disk,12600.0,12600.0,1
1994,or,light,300.0,300.0,1
1994,or,spherical,600.0,600.0,1
1994,or,unknown/other,180.0,180.0,1
1994,pa,disk,370.0,123.33333333333333,3
1994,pa,fireball,40.0,40.0,1
1994,pa,light,38.0,19.0,2
1994,pa,ovoid,16.0,8.0,2
1994,pa,polygonal,600.0,600.0,1
1994,pa,triangular,780.0,390.0,2
1994,pa,unknown/other,180.0,180.0,1
1994,sc,circular,600.0,600.0,1
1994,sd,disk,600.0,600.0,1
1994,sd,formation,900.0,900.0,1
1994,sd,light,600.0,600.0,1
1994,sd,spherical,300.0,300.0,1
1994,tn,changing,120.0,120.0,1
1994,tn,circular,1200.0,1200.0,1
1994,tn,disk,60.0,60.0,1
1994,tn,light,420.0,420.0,1
1994,tn,spherical,900.0,900.0,1
1994,tn,triangular,1800.0,900.0,2
1994,tx,circular,150.0,75.0,2
1994,tx,disk,5.0,5.0,1
1994,tx,polygonal,120.0,120.0,1
1994,tx,triangular,2.0,2.0,1
1994,tx,unknown/other,22220.0,5555.0,4
1994,ut,disk,60.0,60.0,1
1994,ut,light,3600.0,3600.0,1
1994,ut,triangular,60.0,60.0,1
1994,va,disk,270.0,135.0,2
1994,va,flash,10.0,10.0,1
1994,va,ovoid,180.0,180.0,1
1994,va,triangular,40.0,40.0,1
1994,wa,changing,1800.0,1800.0,1
1994,wa,disk,120.0,120.0,1
1994,wa,fireball,905.0,452.5,2
1994,wa,light,20.0,20.0,1
1994,wa,ovoid,3610.0,1805.0,2
1994,wa,polygonal,1800.0,1800.0,1
1994,wa,spherical,1800.0,1800.0,1
1994,wa,triangular,1085.0,361.6666666666667,3
1994,wa,unknown/other,620.0,310.0,2
1994,wi,light,900.0,900.0,1
1994,wi,triangular,45.0,45.0,1
1994,wv,unknown/other,360.0,360.0,1
1994,wy,disk,7200.0,7200.0,1
1994,wy,light,30.0,30.0,1
1995,ak,fireball,120.0,120.0,1
1995,ak,light,1500.0,750.0,2
1995,al,circular,20.0,20.0,1
1995,al,spherical,1800.0,1800.0,1
1995,al,triangular,30.0,30.0,1
1995,al,unknown/other,40.0,40.0,1
1995,ar,changing,2700.0,2700.0,1
1995,ar,triangular,1800.0,1800.0,1
1995,az,disk,600.0,300.0,2
1995,az,fireball,17.0,8.5,2
1995,az,formation,1200.0,1200.0,1
1995,az,light,1620.0,540.0,3
1995,az,ovoid,2280.0,760.0,3
1995,az,triangular,1200.0,400.0,3
1995,az,unknown/other,1560.0,520.0,3
1995,ca,changing,900.0,450.0,2
1995,ca,circular,262835.0,37547.857142857145,7
1995,ca,cylindrical,660.0,220.0,3
1995,ca,disk,435.0,217.5,2
1995,ca,fireball,650.0,216.66666666666666,3
1995,ca,formation,900.0,900.0,1
1995,ca,light,19153.0,1741.1818181818182,11
1995,ca,ovoid,1245.0,622.5,2
1995,ca,polygonal,360.0,180.0,2
1995,ca,triangular,42390.0,8478.0,5
1995,ca,unknown/other,4200.0,525.0,8
1995,co,changing,1200.0,1200.0,1
1995,co,circular,10.0,10.0,1
1995,co,formation,10.0,10.0,1
1995,co,light,60.0,20.0,3
1995,co,triangular,10.0,10.0,1
1995,co,unknown/other,2140.0,535.0,4
1995,ct,circular,1800.0,1800.0,1
1995,ct,light,132.0,66.0,2
1995,ct,polygonal,5.0,5.0,1
1995,de,disk,14400.0,14400.0,1
1995,fl,disk,900.0,450.0,2
1995,fl,fireball,5.0,5.0,1
1995,fl,flash,300.0,300.0,1
1995,fl,light,904.0,452.0,2
1995,fl,oviod,30.0,30.0,1
1995,fl,spherical,3900.0,3900.0,1
1995,fl,triangular,2160.0,360.0,6
1995,fl,unknown/other,180.0,180.0,1
1995,ga,circular,334.0,111.33333333333333,3
1995,ga,oviod,120.0,120.0,1
1995,ga,ovoid,1215.0,607.5,2
1995,ga,polygonal,360.0,180.0,2
1995,ga,unknown/other,900.0,900.0,1
1995,hi,fireball,600.0,600.0,1
1995,hi,oviod,20.0,20.0,1
1995,ia,triangular,3600.0,3600.0,1
1995,id,disk,60.0,60.0,1
1995,il,cylindrical,30.0,30.0,1
1995,il,fireball,8.0,8.0,1
1995,il,light,122.0,61.0,2
1995,il,ovoid,600.0,600.0,1
1995,il,polygonal,600.0,600.0,1
1995,il,spherical,900.0,900.0,1
1995,il,triangular,3000.0,750.0,4
1995,il,unknown/other,320.0,160.0,2
1995,in,triangular,180.0,90.0,2
1995,in,unknown/other,360.0,180.0,2
1995,ks,triangular,420.0,420.0,1
1995,ky,changing,300.0,300.0,1
1995,ky,cylindrical,120.0,120.0,1
